"","var_dhs","zero","one","label_dhs","number_records","number_one","number_zero","number_one_noNA","number_zero_noNA"
"1","mv013","25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54","15-19 , 20-24","Age",7478,3226,4252,3226,4252
"2","mv025","urban","rural","Urban/ 
 rural",7478,5817,1661,5817,1661
"3","mv130","anglican , catholic , ccap , no religion , other , other christian , seventh day adventist / baptist","muslim","Religion",7478,726,6752,726,6752
"4","mv151","female","male","Househead",7478,6316,1162,6316,1162
"5","mv155","able to read only parts of sentence , blind/visually impaired , cannot read at all , no card with required language","able to read whole sentence","Literacy",7478,5351,2127,5351,2127
"6","mv158","less than once a week , not at all","at least once a week","Media access",7478,3694,3784,3694,3784
"7","mv384a","no","yes","Family 
 planning 
 on media",7478,5150,2328,5150,2328
"8","mv531","0 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 34 , 35 , 37 , 38 , 41 , 97","8 , 9 , 10 , 11 , 12 , 13 , 14 , 15","First 
 sex < 16 ",7478,2105,5373,2105,5373
"9","mv731","no","currently working , in the past year","Currently 
  working",7478,6389,1089,6389,1089
"10","mv744b","no","yes","Wife beating 
 justified ",7478,873,6605,873,6605
"11","mv502","currently in union/living with a woman , formerly in union/living with a woman","never in union","Marital status",7478,2932,4546,2932,4546
"12","mv754jp","don't know","no , yes","False 
 beliefs AIDS",7478,7213,265,7213,265
"13","mv781","no","yes","Ever 
 tested HIV",7478,5286,2192,5286,2192
