"","var_dhs","zero","one","label_dhs","number_records","number_one","number_zero","number_one_noNA","number_zero_noNA"
"1","mv013","25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54","15-19 , 20-24","Age",7175,2974,4201,2974,4201
"2","mv025","urban","rural","Urban/ 
 rural",7175,6161,1014,6161,1014
"3","mv130","1 , 2 , 3 , 4 , 5 , 7 , 96 , 99","6","Religion",7175,730,6445,730,6445
"4","mv151","female","male","Househead",7175,6195,980,6195,980
"5","mv155","0 , 1 , 3 , 4 , 9","2","Literacy",7175,5210,1965,5210,1965
"6","mv158","0 , 1 , 9","2","Media access",7175,5913,1262,5913,1262
"7","mv302","never used , used only trad. meth","used modern method","Ever 
 modern 
 contraception",7175,3487,3688,3487,3688
"8","mv384a","0 , 9","1","Family 
 planning 
 on media",7175,5488,1687,5488,1687
"9","mv531","16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 33 , 35 , 36 , 40 , 48 , 97 , 99","0 , 8 , 9 , 10 , 11 , 12 , 13 , 14 , 15","First 
 sex < 16 ",7175,3117,4058,3117,4058
"10","mv633a","0 , 8 , 9","1","Exist reason 
 for no sex",7175,5508,1667,5508,1667
"11","mv731","0 , 1 , 9","2","Currently 
  working",7175,5859,1316,5859,1316
"12","mv744a","1","0","Wife beating 
 justified ",7175,6214,961,6214,961
"13","mv502","currently married , formerly married","never married","Marital status",7175,2708,4467,2708,4467
"14","mv754jp","0 , 8 , 9 , don't know","1","False 
 beliefs AIDS",7175,1643,5532,1643,5532
"15","mv762az","0 , 9","1","Source of 
 condoms 
 not known",7175,618,6557,618,6557
"16","mv769","0 , 8 , 9","1","Could 
 get condom",7175,6025,1150,6025,1150
"17","mv778","0 , 8 , 9","1","AIDS 
 acceptance",7175,6970,205,6970,205
"18","mv780","0 , 8 , 9","1","Children 
 taught condoms",7175,4380,2795,4380,2795
"19","mv781","no","yes","Ever 
 tested HIV",7175,3845,3330,3845,3330
