"","var_dhs","zero","one","label_dhs","number_records","number_one","number_zero","number_one_noNA","number_zero_noNA"
"1","v013","25-29 , 30-34 , 35-39 , 40-44 , 45-49","15-19 , 20-24","Age",7398,3060,4338,3060,4338
"2","v025","urban","rural","Urban/ 
 rural",7398,6403,995,6403,995
"3","v130","1 , 2 , 3 , 4 , 5 , 7 , 96 , 99","6","Religion",7398,775,6623,775,6623
"4","v151","female","male","Househead",7398,5357,2041,5357,2041
"5","v155","0 , 1 , 3 , 4 , 9","2","Literacy",7398,4358,3040,4358,3040
"6","v158","0 , 1 , 3 , 9","2","Media access",7398,1200,6198,1200,6198
"7","v384a","0 , 9","1","Family 
 planning 
 on media",7398,4583,2815,4583,2815
"8","v531","0 , 16 , 17 , 18 , 19 , 20 , 21 , 22 , 23 , 24 , 25 , 26 , 27 , 28 , 29 , 30 , 31 , 32 , 35 , 97 , 98 , 99","8 , 9 , 10 , 11 , 12 , 13 , 14 , 15","First 
 sex < 16 ",7398,2301,5097,2301,5097
"9","v731","2 , 3 , 9","0 , 1","Currently 
  working",7398,3215,4183,3215,4183
"10","v744b","0","1","Wife beating 
 justified ",7398,956,6442,956,6442
"11","v502","currently married , formerly married","never married","Marital status",7398,1481,5917,1481,5917
"12","v754jp","0","1 , 8 , 9","False 
 beliefs AIDS",7398,2032,5366,2032,5366
"13","v781","0 , 9","1","Ever 
 tested HIV",7398,5472,1926,5472,1926
"14","hiv03","hiv negative , indeterminant","hiv  positive","HIV status",7398,890,6508,890,6508
